"league","area","retrieved_from_url","start_time","end_time","team1","team2","outcomereal","team1_odds","team2_odds","draw_odds","outcomepredict"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/uefa-cup-2007-2008/results/","1203615900","1203621300","Helsingborg","PSV ","TEAM2","3.2","2.04","3.3"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/uefa-cup-2007-2008/results/","1203615900","1203621300","Tottenham","Slavia Prague ","DRAW","1.25","9.0","5.2"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/uefa-cup-2007-2008/results/","1203615900","1203621300","Villarreal","Zenit Petersburg ","TEAM1","1.35","8.0","4.3"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/uefa-cup-2007-2008/results/","1203608700","1203614100","Bayern Munich","Aberdeen ","TEAM1","1.12","14.5","7.0"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/uefa-cup-2007-2008/results/","1203606000","1203611400","Panathinaikos","Rangers ","DRAW","1.9","3.7","3.3"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/uefa-cup-2007-2008/results/","1203604200","1203609600","Spartak Moscow","Marseille ","TEAM1","2.0","3.3","3.35"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/uefa-cup-2007-2008/results/","1203602400","1203607800","Bayer Leverkusen","Galatasaray ","TEAM1","1.65","4.75","3.5"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/uefa-cup-2007-2008/results/","1203602400","1203607800","Hamburger SV","Zurich ","DRAW","1.4","7.25","4.0"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/uefa-cup-2007-2008/results/","1203014700","1203020100","Benfica","Nurnberg ","TEAM1","1.45","6.15","4.0"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/uefa-cup-2007-2008/results/","1203012000","1203017400","Bolton","Atl. Madrid ","TEAM1","3.1","2.15","3.2"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/uefa-cup-2007-2008/results/","1203012000","1203017400","Slavia Prague","Tottenham ","TEAM2","4.75","1.65","3.5"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/uefa-cup-2007-2008/results/","1203011100","1203016500","Rosenborg","Fiorentina ","TEAM2","3.3","2.04","3.2"
"Europa League","Europe","http://www.oddsportal.com/soccer/europe/uefa-cup-2007-2008/results/","1203010200","1203015600","Zurich","Hamburger SV ","TEAM2","4.0","1.85","3.2"
