"country","league","season","start_time","start_time_unix","score","team1","team2","bookmaker","start_1","start_x","start_2","final_1","final_x","final_2","drop_1","drop_x","drop_2","retrieved_from_url"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","bet365.it","1.61","3.6","4.6","1.61","3.8","5.5","0.0","5.263158","16.363636","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Betclic.it","1.62","3.6","4.7","1.6","3.7","4.6","-1.2345679","2.7027028","-2.1276596","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","Unibet.it","1.65","3.6","4.5","1.6","3.7","4.75","-3.030303","2.7027028","5.263158","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
"ecuador","serie-a","2017-2018","Tuesday, 19 Jun 2018, 00:15","1529367300","3:1","Ind. del Valle","Dep. Cuenca","WilliamHill.it","1.62","3.6","4.8","1.62","3.8","4.6","0.0","5.263158","-4.1666665","http://www.oddsportal.com/soccer/ecuador/serie-a/independiente-del-valle-dep-cuenca-KW7lI2H9/"
